figure_a_id,figure_a_name,figure_a_retailer,figure_a_sku,figure_b_id,figure_b_name,figure_b_retailer,figure_b_sku,brand_block,jaccard,item_number_match,is_match,notes
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,418,Vocaloid Hatsune Miku (Music & Fire Works Ver.) 1/7 Scale Figure,bbts,191650,good smile,0.4545,0,,
47,[Exclusive Sale] figma Fate/Grand Order Berserker/Morgan,amiami,FIGURE-200094,177,Fate/Grand Order figma No.560 Berserker (Miyamoto Musashi),bbts,101256,max factory,0.4,0,,
423,[Exclusive Sale] figma Fire Emblem: Three Houses Edelgard von Hresvelg,amiami,FIGURE-190004,154,The Amazing Digital Circus Nendoroid No.2583 Pomni (Reissue),bbts,190612,good smile,0.0,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,133,Blue Archive Nendoroid No.3063 Hikari Tachibana,bbts,189975,good smile,0.2,0,,
76,[Exclusive Sale] figma Bio Booster Armor Guyver Gigantic Dark,amiami,FIGURE-199578,175,Bio-Booster Armor Guyver figma No.680 Gigantic Dark Action Figure,bbts,184297,max factory,0.6667,0,,
76,[Exclusive Sale] figma Bio Booster Armor Guyver Gigantic Dark,amiami,FIGURE-199578,180,Female figma No.534 Bikini Armor (Makoto),bbts,88652,max factory,0.0833,0,,
67,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Updated ver.,amiami,FIGURE-196242,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.5,0,,
369,[Exclusive Sale] [Bonus] PLAMATEA Cutie Honey Nova Black Honey Plastic Model,amiami,FIGURE-203769,406,Cutie Honey Nova PLAMATEA Black Honey Model Kit,bbts,191499,good smile,0.625,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,163,Blue Archive figma No.686 Saori Joumae Action Figure,bbts,189763,good smile,0.2,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,142,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hakodate),bbts,190109,good smile,0.05,0,,
65,figma NieR:Automata Ver1.1a 2B (YoRHa No.2 Type B),amiami,FIGURE-179176,180,Female figma No.534 Bikini Armor (Makoto),bbts,88652,max factory,0.0833,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,304,Blue Archive Moderoid Daath Model Kit,bbts,189777,good smile,0.25,0,,
50,[Exclusive Sale] figma Girls' Frontline 2: Exilium Tololo,amiami,FIGURE-201398,390,Girls' Frontline 2: Exilium figma No.691 Klukai Action Figure,bbts,191316,max factory,0.375,0,,
70,[Exclusive Sale] figma The Witcher 3 Wild Hunt Geralt,amiami,FIGURE-187602,192,Diablo IV figma No.648 Lilith Action Figure,bbts,153465,good smile,0.0,0,,
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,150,Clannad Nendoroid No.869 Nagisa Furukawa (Reissue),bbts,190108,good smile,0.0,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,306,Tengen Toppa Gurren Lagann Kirameki Yoko Box: Pieces of Sweet Stars Yoko (Bondage Costume Ver.) 1/7 Scale Figure,bbts,190130,good smile,0.0588,0,,
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,202,Bunny Suit Planning figma No.594 Sophia F. Shirring (Bikini Armor Ver.),bbts,119653,good smile,0.0588,0,,
76,[Exclusive Sale] figma Bio Booster Armor Guyver Gigantic Dark,amiami,FIGURE-199578,176,Bio-Booster Armor Guyver figma No.600 Guyver I (Ultimate Edition) Action Figure (Reissue),bbts,186328,max factory,0.3636,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,415,Kill la Kill Nendoroid No.2808 Ryuko Matoi (Kamui Senketsu Ver.),bbts,162567,good smile,0.0625,0,,
61,[Exclusive Sale] figma The Legend of Zelda Link: Tears of the Kingdom ver. DX Edition,amiami,FIGURE-198872,174,The Legend of Zelda: Tears of the Kingdom figma No.637 Zelda Action Figure,bbts,147757,good smile,0.4,0,,
67,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Updated ver.,amiami,FIGURE-196242,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.5455,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,387,Vocaloid Hatsune Miku (Smile x Future Ver.) 1/7 Scale Figure,bbts,189541,good smile,0.3333,0,,
55,[Exclusive Sale] figma Umamusume Pretty Derby Gold Ship,amiami,FIGURE-199924,173,Uma Musume: Pretty Derby figma No.584 Gold Ship Action Figure (Reissue),bbts,186175,max factory,0.4,0,,
41,[Exclusive Sale] figma BUNNY SUIT PLANNING Silva Barrelline,amiami,FIGURE-203462,181,Bunny Suit Planning figma No.674 Sophia F. Shirring (Swimsuit Ver.) Action Figure,bbts,177090,max factory,0.25,0,,
59,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Swimsuit ver.,amiami,FIGURE-195018,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.25,0,,
47,[Exclusive Sale] figma Fate/Grand Order Berserker/Morgan,amiami,FIGURE-200094,179,Fate/Grand Oder figma No.682 Berserker/Morgan Action Figure,bbts,186482,max factory,0.4444,0,,
63,[Exclusive Sale] figma hololive production Ninomae Ina'nis,amiami,FIGURE-179194,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.0,0,,
425,Character Vocal Series 01 Hatsune Miku: Music & Fire Works Ver. 1/7 Complete Figure,amiami,FIGURE-203933,433,Vocaloid Nendoroid No.1309 Hatsune Miku V4X (Reissue),bbts,191708,good smile,0.1429,0,,
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,375,Okami Nendoroid No.1365 Amaterasu (Reissue),bbts,190768,max factory,0.3333,0,,
363,[Exclusive Sale] figma Fate/stay night [Heaven's Feel] Saber Alter 2.0,amiami,FIGURE-192493,175,Bio-Booster Armor Guyver figma No.680 Gigantic Dark Action Figure,bbts,184297,max factory,0.0,0,,
42,[Exclusive Sale] figma Fukashin Ryouiki Ruka,amiami,FIGURE-202840,167,Fukashin Ryouiki figma No.687 Ruka Action Figure,bbts,190328,max factory,0.5,0,,
367,[AmiAmi Exclusive Bonus] THE GATTAI DANDIVINE DANDIVINE DX DANDIVINE,amiami,FIGURE-203673,128,Goddess of Victory: Nikke Nendoroid No.3003 Blanc,bbts,190904,good smile,0.0,0,,
52,[Exclusive Sale] figma Frieren: Beyond Journey's End Frieren DX Edition,amiami,FIGURE-188691,155,Blue Archive Nendoroid Surprise Blue Archive Boxed Set of 6 Figures with Random Accessories,bbts,190772,good smile,0.0,0,,
369,[Exclusive Sale] [Bonus] PLAMATEA Cutie Honey Nova Black Honey Plastic Model,amiami,FIGURE-203769,402,Uma Musume: Pretty Derby Nendoroid No.2412 Matikanetannhauser (Reissue),bbts,191495,good smile,0.0,0,,
93,Character Vocal Series 01 Hatsune Miku V4 CHINESE 1/3 Complete Figure,amiami,FIGURE-203419,234,Vocaloid B-Style Hatsune Miku (V4 CHINESE) 1/3 Scale Figure,bbts,190775,freeing,0.3636,0,,
24,[AmiAmi Exclusive Bonus] Nendoroid Surprise Blue Archive (6 Pieces),amiami,GOODS-04815189,421,The Angel Next Door Spoils Me Rotten Nendoroid No.2064 Mahiru Shiina (Reissue),bbts,191647,good smile,0.0,0,,
51,figma The Amazing Digital Circus Pomni,amiami,FIGURE-201544,161,The Amazing Digital Circus figma No.SP-176 Pomni Action Figure,bbts,188248,freeing,0.5714,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,388,Vocaloid Character Vocal Series 01: Hatsune Miku with SOLWA 1/7 Scale Figure (Reissue),bbts,189981,good smile,0.5455,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,156,Doom: The Dark Ages figma No.683 Doom Slayer Action Figure,bbts,187814,good smile,0.0,0,,
97,Character Vocal Series 01 Hatsune Miku: Smile x Future Ver. 1/7 Complete Figure,amiami,FIGURE-202374,144,Vocaloid Character Vocal Series 01: Hatsune Miku Nendoroid Doll Sakura Miku (Hirohako 2025 Ver.) (Hirosaki),bbts,190110,good smile,0.4,0,,
17,[Exclusive Sale] Nendoroid hololive production Sakura Miko: Casual Outfit Ver.,amiami,FIGURE-201786,137,Vocaloid Nendoroid No.2730 Hatsune Miku (Rabbit Hole Ver.) (Reissue),bbts,189764,good smile,0.0667,0,,
47,[Exclusive Sale] figma Fate/Grand Order Berserker/Morgan,amiami,FIGURE-200094,178,Fate/Grand Order figma No.559 Saber/Nero Claudius (Bride),bbts,100276,max factory,0.25,0,,
70,[Exclusive Sale] figma The Witcher 3 Wild Hunt Geralt,amiami,FIGURE-187602,387,Vocaloid Hatsune Miku (Smile x Future Ver.) 1/7 Scale Figure,bbts,189541,good smile,0.0,0,,
54,[Exclusive Sale] figma Fire Emblem: Three Houses Byleth (Female),amiami,FIGURE-186842,111,Vocaloid Nendoroid No.3065 Hatsune Miku (HMO Ver.),bbts,190487,good smile,0.0,0,,
41,[Exclusive Sale] figma BUNNY SUIT PLANNING Silva Barrelline,amiami,FIGURE-203462,199,Bunny Suit Planning figma No.530 Sophia F. Shirring,bbts,86606,max factory,0.3,0,,
75,[Exclusive Sale] figma METROID Other M Samus Aran Zero Suit ver.,amiami,FIGURE-186430,127,Vocaloid Nendoroid No.2430 Hatsune Miku (World is Mine 2024 Ver.) (Reissue),bbts,190330,good smile,0.0588,0,,
31,[Exclusive Sale] Nendoroid Okami Amaterasu DX Ver.,amiami,FIGURE-203386,370,Okami Nendoroid No.1365 Amaterasu (DX Ver.) (Reissue),bbts,190769,max factory,0.5,0,,
67,[Exclusive Sale] figma BUNNY SUIT PLANNING Sophia F. Shirring: Updated ver.,amiami,FIGURE-196242,162,Bunny Suit Planning figma No.689 Silva Barrelline Action Figure,bbts,190902,max factory,0.25,0,,
